NAME;ADDRESS;PHONE;EMAIL
Makk Marci;4623 Tuzsér,Ady Endre út 3.;70 1234567;marci@domain.hu
L33t Tr011;1010 Programming is fun;123;cracker@stole-your-id.com
Krumpli Kálmán;4841 Jánd, Hosszú utca 2.;45 123456;potato@gmail.com
Burgonya Béla;4841 Jánd;30 0001111;potato-again@gmail.com
Alföldi Ádám;2097 Pilisborosjenő, Petőfi Sándor u. 123;70 6290717;Alfoldi-a@icloud.com
Lovász Előd;2456 Besnyő, Szabadság telep 48.;70 85446550;lovasz123@msn.com
Zöld Máté;4162 Szerep, Szent Elmó tér 19.;20 9321823;shaffei@yahoo.com
Fibula Kálmán;8591 Nóráp;20 5383540;fibu-kalman@free,com
Lovász Ádám;7783 Majs, Honvéd utca 81.;30 0989534;jax.web@outlook.com
Bodnár Győző;Gyömöre, Halász u. 8.;30 7383682;gyozimail123@citromail.hu.com
Fibula_Gaspar;8874 Kerkaszentkirály, Németh Sándor út 8.;70 4464881;ingolfke@comcast.net
Zöld Győző;3627 Domaháza, Poroszlay u. 21.;45 640524;hwestiii@yahoo.com
Rézműves Kálmán;4090 Polgár;45 017053;rezmuves&live.com
Zöld István;2314 Halásztelek, fűrésztelep u. 9;30 4255909;ingolfke@gmail.com
Alföldi Előd;Kaba 4183, virág utca 2.;639342;miturria@icloud.com
Fibu1a Előd;6444 Kéleshalom, Fő utca 99.;45 128738;skythe@outlook.com
Ötvös Imre;7171 Sióagárd, Zenész utca 12.;45 204999;tlinden@mac.com
Dobó Imre;Tuzsér, gyikos utca 5.;45 352754;sarahs@live.com
Szabó Ádám;3425 Sály, Vitéz út 20.;20 72902120;johndo@verizon.net
Szabó István;5211 Tiszapüspöki, Új út 54.;70 7162783;sinclair@aol.com
Fibula Zoltán;9799 Szentpéterfa, Levendula u. 1.;45 974394;fibulazoli1982@gmail.com
Alföldi Kálmán;9793 Narda, Kossuth u. 5;45 304400;tlinden@msn.com
Rézműves István;8182 Berhida, Veszprémi út 55.;45 170629;garland@icloud.com
Kerekes Kálmán;3300 Eger,Ady Endre u. 12.;45 694507;privcan@comcast.net
Bodnár Kálmán;7122 Kakasd, Rákóczi Ferenc u. 8.;30 1679573;kosact@aol.com
Kovács Imre;9072 Nagyszentjános, Sport utca 10.;45 259484;isotopian@comcast.net
Vitéz Zoltán;8983 Ormándlak, Alsó u. 5.;20 2601727 a;zyghom@optonline.net
Bodnár Ádám;7381 Kisvaszar, Rákóczi u. 2.;45 825870;ghost@aol.com
Kerekes Ádám;9672 Gérce, Kossuth telep 4.;20 4888893;ntegrity@gmail.com
Sebők Előd;8822 Zalaújlak, Fő út, 25.;45 446941;hyper@hotmail.com
K0vács 1stván;8248 Veszprémfajsz, Fő út, 2.;70 9104140;sagal@verizon.net
Rézműves Imre;4737 Kisnamény, Kis utca 23.;45 352972;tmaek@me.com
Szabó Imre;3621 Ózd, Cséti Ottó u. 41.;706982979;martink@aol.com
Ötvös Győző;2641 Berkenye, Bérc u. 17.;45 741534;majordick@comcast.net
Kovács;9945 Kercaszomor;30 0005474;loscar@optonline.net
