NAME;ADDRESS;PHONE;EMAIL
Makk Marci;4623 Tuzsér,Ady Endre út 3.;70 1234567;marci@domain.hu
Krumpli Kálmán;4841 Jánd, Hosszú utca 2.;45 123456;potato@gmail.com
Zöld Máté;4162 Szerep, Szent Elmó tér 19.;20 9321823;shaffei@yahoo.com
Lovász Ádám;7783 Majs, Honvéd utca 81.;30 0989534;jax.web@outlook.com
Zöld Győző;3627 Domaháza, Poroszlay u. 21.;45 640524;hwestiii@yahoo.com
Fibu1a Előd;6444 Kéleshalom, Fő utca 99.;45 128738;skythe@outlook.com
Ötvös Imre;7171 Sióagárd, Zenész utca 12.;45 204999;tlinden@mac.com
Szabó István;5211 Tiszapüspöki, Új út 54.;70 7162783;sinclair@aol.com
Rézműves István;8182 Berhida, Veszprémi út 55.;45 170629;garland@icloud.com
Kerekes Kálmán;3300 Eger,Ady Endre u. 12.;45 694507;privcan@comcast.net
Bodnár Kálmán;7122 Kakasd, Rákóczi Ferenc u. 8.;30 1679573;kosact@aol.com
Kovács Imre;9072 Nagyszentjános, Sport utca 10.;45 259484;isotopian@comcast.net
Bodnár Ádám;7381 Kisvaszar, Rákóczi u. 2.;45 825870;ghost@aol.com
Kerekes Ádám;9672 Gérce, Kossuth telep 4.;20 4888893;ntegrity@gmail.com
Rézműves Imre;4737 Kisnamény, Kis utca 23.;45 352972;tmaek@me.com
Ötvös Győző;2641 Berkenye, Bérc u. 17.;45 741534;majordick@comcast.net
